Angle_deg,X_position,Y_position,X_modulated,Y_modulated,Modulated_radius,Cost,Cost_squared,Sigma_alpha_um_per_N,Sigma_beta_um_per_N,Sigma_alphabeta_um_per_N
306.5,0.659601695540403,-0.0802971848118544,0.08428753863350719,-0.11355469010781899,0.1414180215332465,1118.901432448363,33.44998404257262,3.512224516994385,9.362617168143919,0.6302056605424919
306.6,0.659741788605684,-0.08019300901072218,0.08445253445715481,-0.11336290751858387,0.14136258124873047,1115.9080158286392,33.40520941153699,3.509718299350443,9.366018265090341,0.6300455101350478
306.7,0.6598816995859719,-0.08008858879200842,0.08461704540161578,-0.1131707984379302,0.1413070203195076,1112.9121078079222,33.36033734553538,3.5072142932260957,9.369415701441302,0.6298807094464992
306.8,0.6600214280548368,-0.079983924473972,0.084781071144671,-0.11297836474437836,0.14125133955029084,1109.9137779222804,33.31536849446934,3.504712509400421,9.37280946444803,0.6297112578931054
306.90000000000003,0.6601609735864049,-0.07987901637561577,0.08494461137301053,-0.11278560831698968,0.1411955397480572,1106.9130956521017,33.27030351006888,3.5022129586581277,9.376199541363327,0.6295371549330239
307.0,0.6603003357553602,-0.07977386481668558,0.08510766578223136,-0.11259253103531616,0.1411396217220332,1103.910130419237,33.225143045880735,3.499715651789439,9.37958591944174,0.6293584000663217
307.1,0.6604395141369453,-0.07966847011766942,0.085270234076834,-0.11239913477934965,0.14108358628367962,1100.9049515841186,33.17988775725618,3.4972205995900145,9.382968585939587,0.6291749928349779
307.20000000000005,0.6605785083069631,-0.07956283259979624,0.08543231597022037,-0.11220542142947153,0.14102743424667727,1097.89762844292,33.13453830133928,3.4947278128608326,9.386347528115099,0.628986932822892
307.3,0.660717317841778,-0.07945695258503505,0.08559391118468981,-0.11201139286640202,0.14097116642691165,1094.888230224701,33.089095337054786,3.492237302408118,9.38972273322854,0.6287942196558882
307.40000000000003,0.660855942318317,-0.07935083039609397,0.08575501945143575,-0.11181705097115001,0.1409147836424585,1091.8768260885763,33.04355952509621,3.4897490790432157,9.393094188542245,0.6285968530017204
307.5,0.6609943813140713,-0.07924446635641934,0.08591564051054176,-0.1116223976249625,0.14085828671356854,1088.8634851208828,32.99793152791373,3.487263153582528,9.396461881320782,0.6283948325700769
307.6,0.6611326344070971,-0.07913786079019447,0.08607577411097735,-0.11142743470927423,0.14080167646265285,1085.8482763323593,32.95221200970216,3.4847795368473857,9.39982579883101,0.6281881581125847
307.70000000000005,0.6612707011760177,-0.07903101402233895,0.08623542001059349,-0.11123216410565737,0.1407449537142677,1082.8312686553395,32.90640163638892,3.482298239663983,9.403185928342207,0.6279768294228145
307.8,0.661408581200024,-0.07892392637850741,0.086394577976118,-0.1110365876957712,0.14068811929509975,1079.812530940948,32.8605010756219,3.4798192728632484,9.406542257126171,0.6277608463362834
307.90000000000003,0.661546274058876,-0.07881659818508865,0.0865532477831504,-0.11084070736131182,0.14063117403395092,1076.7921319563068,32.81451099675731,3.4773426472807785,9.409894772457287,0.6275402087304565
308.0,0.6616837793329043,-0.0787090297692048,0.08671142921615625,-0.11064452498396206,0.14057411876172327,1073.770140381751,32.76843207084756,3.4748683737567028,9.413243461612677,0.6273149165247578
308.1,0.6618210966030111,-0.07860122145870992,0.08686912206846234,-0.11044804244534114,0.14051695431140432,1070.7466248080668,32.7222649706292,3.472396463135629,9.416588311872259,0.6270849696805594
308.20000000000005,0.6619582254506718,-0.0784931735821894,0.08702632614225006,-0.11025126162695455,0.1404596815180515,1067.7216537337126,32.67601037051055,3.469926926266517,9.419929310518883,0.6268503682011978
308.3,0.662095165457936,-0.07838488646895869,0.08718304124854948,-0.11005418441014388,0.14040230121877717,1064.695295562073,32.629668946559555,3.467459774002569,9.423266444838413,0.6266111121319669
308.40000000000003,0.6622319162074288,-0.07827636044906248,0.0873392672072329,-0.10985681267603703,0.14034481425273368,1061.6676185987146,32.58324137649161,3.4649950172011708,9.426599702119812,0.6263672015601232
308.5,0.6623684772823523,-0.07816759585327358,0.08749500384700808,-0.10965914830549794,0.14028722146109798,1058.6386910486563,32.536728339657266,3.4625326667237677,9.429929069655287,0.6261186366148872
308.6,0.6625048482664863,-0.07805859301309194,0.08765025100541109,-0.10946119317907675,0.14022952368705646,1055.6085810136397,32.49013051702993,3.4600727334357537,9.433254534740364,0.6258654174674424
308.70000000000005,0.6626410287441904,-0.07794935226074368,0.0878050085287992,-0.10926294917695996,0.14017172177578985,1052.5773564894293,32.443448591193714,3.4576152282064063,9.436576084673991,0.6256075443309395
308.8,0.6627770183004049,-0.07783987392917995,0.0879592762723431,-0.1090644181789203,0.1401138165744577,1049.54508536309,32.39668324633079,3.4551601619087653,9.439893706758633,0.6253450174604905
308.90000000000003,0.6629128165206515,-0.07773015835207618,0.08811305410001886,-0.10886560206426749,0.1400558089321835,1046.5118354103224,32.349835168209474,3.452707545419532,9.443207388300397,0.6250778371531779
309.0,0.6630484229910355,-0.07762020586383078,0.08826634188460007,-0.10866650271179772,0.1399976997000388,1043.4776742927559,32.302905044171425,3.450257389618971,9.446517116609106,0.624806003748047
309.1,0.6631838372982464,-0.07751001679956422,0.0884191395076494,-0.1084671219997448,0.1399394897310287,1040.442669555313,32.25589356311979,3.4478097053908328,9.449822878998436,0.6245295176261053
309.20000000000005,0.6633190590295596,-0.07739959149511808,0.0885714468595095,-0.10826746180572985,0.13988117988007567,1037.4068886235186,32.20880141550627,3.445364503622213,9.453124662785982,0.6242483792103279
309.3,0.6634540877728371,-0.07728893028705391,0.08872326383929424,-0.10806752400671218,0.13982277100400467,1034.3703988008767,32.16162929331903,3.4429217952034983,9.456422455293373,0.6239625889656485
309.40000000000003,0.6635889231165296,-0.07717803351265229,0.08887459035487941,-0.10786731047893965,0.1397642639615277,1031.3332672662345,32.11437789007027,3.440481591028218,9.459716243846403,0.623672147398964
309.5,0.6637235646496769,-0.07706690150991181,0.0890254263228929,-0.10766682309789907,0.139705659613228,1028.2955610711401,32.06704790078345,3.438043901992986,9.463006015775075,0.6233770550591278
309.6,0.6638580119619095,-0.07695553461754791,0.08917577166870536,-0.10746606373826717,0.13964695882154532,1025.2573471372682,32.019640021981324,3.435608738997386,9.466291758413774,0.6230773125369476
